repository_owner,repository_name
AABoyles,AssassinationData
AABoyles,HigheRCharts
AMcNeice,Diners--Drive-ins-and-Dives
Altons,Utilities
ArtemSokolov,R-ML-tools
BartBruininks,Centrotyping
BibudhLahiriCC,casebook_analytics
BioStatMatt,sas7bdat
Bongomountainthesis,Chiara_d4_c18_timecourse_expression
Bongomountainthesis,MLA_neuron_ChIPSeq
Bongomountainthesis,ns5_ns5dastro_dnREST_xpn
BrianDiggs,ggplot2
BrianDiggs,scales
CharlesJB,Benchmark
Choens,AnalyticTemplates
CidReyes,L15LUtils
ConstantineLignos,MorphProcessing
ConstantineLignos,Variation
CornePlas,MOOSCN-R
DannyArends,BLASTnParse
DannyArends,Inne-en-Adriaan-400pheno
DannyArends,iqtl
DannyArends,phenotypes2genotypes
DannyArends,rqtl-mqm
DannyArends,test
Dasonk,dbConnectGUI
Dasonk,myprofr
DaveHastie,Synergy_RFiles
Donald-Bass,Lexomics-Cluster-Validation
EDiLD,dirichletreg
EDiLD,edimisc
EDiLD,vegan
EarthScientist,NALCMS_ReVeg_Classification
EarthScientist,data_extraction
Fang,ReadGenea
FlorianEndel,Mathmod2012
Focus,PhD
GerbenGaastra,test
Gibbsdavidl,ProCoNA
Gibbsdavidl,twine
GuangchuangYu,DOSE
GuangchuangYu,GOSemSim
GuangchuangYu,ReactomePA
GuangchuangYu,clusterProfiler
GuangchuangYu,mlass
HSchnegg,ML
Inne-Lemstra,Bible_Reader
Inne-Lemstra,Inne-en-Adriaan-400pheno
Inne-Lemstra,Test
JLospinoso,memo
JaneliaSciComp,msg
JoFrhwld,SQAwR
JoFrhwld,jofrhwld.github.com
Joelgranados,EcoIP
KCWills,Kellie-simcf
KonradZych,phenotypes2genotypes
Lateks,Information-Capacity-of-the-Human-Motor-System
LitPepito,gsoc-R-application
Lucca-z,LuCCA-Z--Manipulador-de-Pedigrees
MG-RAST,matR
MattNapsAlot,heap
MattNapsAlot,rSynapseClient
MattNapsAlot,stack
Mengqi,LaTeX
MichaelMBishop,inschoolAddHealth
MichaelMBishop,mixed
MichaelMBishop,netAddHealth
MichaelMBishop,util
MontrealRUserGroup,Workshops
Mous,rForceDirect
NMML,CuSurvival
NMML,Hierarchical_DS
NMML,crawl
NickSpyrison,qtourGUI
Nodoka,Bioquality
OpenGamma,OG-RStats
P-V-C,Machine-Learning
PTKDev,Scheme-GeanyBlack
PacificBiosciences,R-kinetics
PacificBiosciences,R-pbh5
PaulHiemstra,test_that
PhuseTesting,Efficacy-by-Site-Figure
Protonk,Image-Grab
Protonk,flight-delays
Protonk,shipdata
Quickstep,ReadGenea
RaikOtto,Algsys
RichardLitt,Understanding-Workflows
Rsoc,soc.ca
RyanHope,Rmisc
SChamberlain,R4CouchDB
SChamberlain,RGoogleAnalytics
SChamberlain,gggraph
SChamberlain,govdat
SRenan,pepViz
SachaEpskamp,swst
Sage-Bionetworks,Cancer-Pathway-Sparse-Factor-Models
Sage-Bionetworks,Glioblastoma-Exploration
Sage-Bionetworks,OvarianCaDemo
Sage-Bionetworks,R-Synapse-Client-Rewrite
Sage-Bionetworks,bfrmTest
Sage-Bionetworks,rSynapseClient
Sage-Bionetworks,rSynapseClientRewrite
Sage-Bionetworks,sessionTools
Sage-Bionetworks,sss
Sage-Bionetworks,synapsify-demo
Sage-Bionetworks,synapsify-tests
Sharpie,RTikZDevice
SoftwareIntrospectionLab,FixCache
SteveViss,TestGit
StudentGrowthPercentiles,SGP
TomRoche,ioapi-hack-R
TylerBackman,bioassayR
USGS-CIDA,WRTDS
WilDoane,RTutorial
Wirgis,P3
aL3xa,rapport
aL3xa,sandboxR
aalfons,Rd2roxygen
aalfons,cvTools
aalfons,robustHD
aalfons,roxygen
abarbour,Bangerisms
abarbour,rlpSpec
abiank,SIT
abicky,osakar4_abicky
adamsardar,Magic-Cardshuffling
adamvi,ClusterCompute
adamvi,SGP
adgaudio,kaggle
adriaan-vd-graaf,Inne-en-Adriaan-400pheno
ael54,GAPIT
ahs85,enron
ahs85,german-zipcodes
ahs85,schlecker_closings
ahs85,twitternde_gemeinden
ajtulloch,Elements-of-Statistical-Learning
al2na,genomation
albertwcheng,AffyTemplate
albertwcheng,AgilentOneColorTemplate
albertwcheng,AgilentTwoColorTemplate
albertwcheng,R-scripts-For-Microarray-Processing
algorithmzoo,blog
allredbw,okmesonet
aloy,deletion-diagnostics
alphabits,dtu-spring-2012
alunpope,knitr
alyst,rxlsx
amaunz,bbrc-sample
analyticsPierce,analytics_scripts
ananelson,dexy-templates
andrewchay,CCSparsenet
andrewheiss,R-magic
andrewpoh,RScripts
andrewxhill,cartodb-r
andrie,ggdendro
andymckenzie,Skewness-Asymmetry
andypea,QCD-Statistics-Code
anitemp,allocation-times
annube,Chifit
arademaker,dicionariosIBGE
arc12,Text-Mining-Weak-Signals
ariddell,1800to1836
armstrtw,AWS.tools
armstrtw,deathstar
aronlindberg,Social-Network-Analysis-in-R
aronlindberg,VOSS-Sequencing-Toolkit
arturosaco,Moleculas
aserlich,tile-simcf
ashander,matrixmodels
ashander,pgfishr
ashander,stat-rethink
ashwanthkumar,rstorm
atbroman,neqtl
atorch,R-atorch
ats,usesthis-data
backlin,classify
baptiste,gtable
barrywark,Rovation
bartev,PitchAnalysis
bdomokos74,Snippets
bealeaj1214,primaryNotes
beechung,Latent-Factor-Models
ben-domingue,ConjointChecks
benilton,oligo
benilton,pdInfoBuilder
benjaminhaley,janus
benmarwick,AAA2011-Tweets
benmarwick,ggbiplot
benswift,canberrainspire
berndweiss,ps2012r_intro
berndweiss,tuma
bmschmidt,Presidio
bobthecat,AMIA-tutorial
bobthecat,codebox
bocowgill,rstack
bocowgill-collaborations,JobBoardAnalysis
bradleycolquitt,seqAnalysis
braithwaite,matR
branclem,cos424
brendano,dlanalysis
brian-bot,tcga-ovarian
briandk,granovaGG
briatte,afsp2011
briatte,flegscrap
briatte,kmaps
bryangoodrich,Open-GIS
bryanhanson,HandyStuff
bryanhanson,HiveR
bwlewis,R-Websockets
bwlewis,betfair
bwlewis,rredis
byandell,qtl
byandell,qtlhot
caewok,CA_Cap_and_Trade_Revenue
caldwell,build-emacs
cameronbracken,pgfSweave
carlmurie,SIGHTS
carlosp420,ape
carlzhangxuan,R
cbart,ml-lab-2012
cbeleites,roxygen
cbeleites,roxygenize-inheritparams
cboettig,earlywarning
cboettig,knitcitations
cboettig,pdg_control
cboettig,pmc
cboettig,sandbox
cboettig,segue
cboettig,socialR
cboettig,wrightscape
ccgimperial,Player-style-LDA
chainsawriot,csx
chaitanyav,weatherdata
chengjun,Data-Mining-With-R
chengty213,irsbiz
chferte,NSCLC_Sig
chiarasoldati,EscChIPseqAc
chochkov,r-cakes
chrisadolph,tile-simcf
christophe-pouzat,Neuronal-spike-sorting
chxy,MissingDataGUI
cjbayesian,GyroModelTheoryGenerator
cjbayesian,MHadaptive
cjbayesian,community-DNA-fingerprinting
clark-lab-robot,Repitools_bioc
cloudly,Play-Econometrics-with-R
cmrivers,Learning-projects
colinpmillar,a4a
conjugateprior,austin
conjugateprior,events
crackcell,crackcell-public
csrhodes,swankr
