repository_owner,repository_name
0xd34df00d,gennl
23Skidoo,cabal
23Skidoo,ghc-parmake
8c6794b6,gh-pages-8c6794b6
8c6794b6,haskell-sc-scratch
8c6794b6,repa-fftw
8c6794b6,repa-sndfile
A1kmm,cellml-testbed
A1kmm,foreign-storable-asymmetric
A1kmm,mongoDB-haskell
A1kmm,network-interfacerequest
A1kmm,network-netpacket
AardvarkSoup,Haskell-Heap-Serialization
Abizern,Code-Jam
AccelerateHS,accelerate
AccelerateHS,accelerate-backend-kit
AccelerateHS,accelerate-buildbot
AccelerateHS,accelerate-cuda
AccelerateHS,accelerate-examples
AccelerateHS,accelerate-io
Ahnfelt,keen
Alasdair,HSEarley
Alasdair,Mella
Alasdair,tes4alchemy
Alasdair,xhtml-combinators
AldenJole,infinite-monkey
AldenJole,xmonad-config
AlexBaranosky,Xmonad
Ananasas,Prune
AndreRoehrig,ALP-I
AndyMoreland,Haml-Parser
Athas,Sindre
Athas,gsmenu
Averethel,thesis
Axblade,project-euler
Barrucadu,Aggregator
Barrucadu,BookDB
Barrucadu,Citation-Needed
BartMassey,closure
BartMassey,imcs
Bedtimes,learning-haskell
BillWeiss,Haskell-Boot-Camp
Borgvall,infixshow
BrisFunctional,misere-oxo
CLowcay,CC_Clones
CRogers,funell
Cadynum,Apelsin
Cadynum,tremulous-query
Calvin-L,minilang
CaptainHayashi,Augh
Casucci,xmonad-config
Ceasar,CIS-194
Ceasar,School
Ceasar,parse
CheatEx,algo-class
Christoph-D,mueval-darcs
CindyLinz,Haskell-KMP
Course,HaskDB
CovenantEyes,Dewhiten
DRascal,Shakyo
DRascal,SysCom
DRascal,written-in-haskell
DanBurton,Blog
DanBurton,conduit-pipes
DanBurton,system-f
DanGe42,hakyll-website
Danidude,noisy
Daniel-Diaz,Clipboard
Daniel-Diaz,HaTeX
Daniel-Diaz,HaTeX-Guide
Daniel-Diaz,HaTeX-meta
DanielSchuessler,hstri
DanielSchuessler,th-build
DanielWaterworth,siege
DavidMihola,ItS-UE1
Dervall,HScheme
Dervall,HetaBalls
Dervall,Tracy
Digit,ema
DougBurke,HaSparql-Client
DrMegahertz,configs
DrMegahertz,hbfi
Dremora,BookBrainz
DungChau,CS-457
DylanLukes,GHPP
DylanLukes,Winchester-STG-Compiler
EdgarGomes,DeUni
EdgarGomes,cabal-meta
Eelis,geordi
Elemir,Network.NineP
Elemir,Pipe
Elemir,snaplet-redson
Emm,learn_haskell
Erdwolf,prolog
FalconNL,mc2obj
FranklinChen,par-tutorial
GMouron,Puzzles
Gabriel439,FreeT
Gabriel439,Haskell-Pipes-Library
GaloisInc,BoundedChan
GaloisInc,HaLVM
GaloisInc,HaNS
GaloisInc,RSA
GaloisInc,SHA
GaloisInc,SpreadsheetML
GaloisInc,cereal
GaloisInc,delicious
GaloisInc,feed
GaloisInc,halfs
GaloisInc,http-server
GaloisInc,json
GaloisInc,mime
GaloisInc,pads-haskell
GaloisInc,xml
Garriot,snap
Gcool,dotfiles
HIPERFIT,accelerate-opencl
HackerFoo,peg
HanStolpo,DevSync
HaskellCNOrg,haskellcn
HaskellElephant,My-xmonad-config
HeinrichApfelmus,reactive-banana
HeinrichApfelmus,tomato-rubato
HeinrichApfelmus,vault
HepaxCodex,FIPlib
HugoDaniel,FCSH-Cards
HugoDaniel,FCSH-Guia
HugoDaniel,shakespeare
IMOKURI,Haskell
Intellicode,redvsblue
JAChapmanII,conf-Ratushnyak
JHawk,48_hours
JJeeb,hgist
JPMoresmau,BuildWrapper
JPMoresmau,HJVM
JPMoresmau,HTTP
JPMoresmau,nxt-samples
JPMoresmau,scion-class-browser
JakeWheat,hssqlppp
JamesEarlDouglas,LastCalc-cli
JanAhrens,authenticate-oauth-demo
JanAhrens,wai-middleware-demo
JanBessai,Monoid-Error
JanBessai,diff
JanBessai,dirdiff
JaphethLim,jjroma
JavierDK,Hask_1
JeffHeard,Hieroglyph
JoaoFelipe,Aprendendo-Haskell
Joe-Z,yampa-programming
JohnGlassmyer,seven-languages
JohnLato,attoparsec-iteratee
JohnLato,iteratee
JohnLato,zoom-cache
Johnicholas,learn_to_soar
Josh211ua,TinyControl
Julianporter,Distributed-Haskell
Juusoh,jfo
KMahoney,Algorithm-W-Step-By-Step
Kerestey,sclent
Laar,CodeGenerating
Laar,OpenGL
Laar,OpenGLRaw
Laar,OpenGLRawgen
LambdaLuminaries,illum
Lambdanaut,Euler
Lambdanaut,dotfiles
LanJian,hraytrace
LeifW,yesoddocs
Lemmih,lhc
LeventErkok,sbv
LinuxMercedes,dotxmonad
LukeHoersten,hstats
Macha,Mbot
MachinesAreUs,haskellPlayground
MalinAhlberg,SwedishProject
MarcWeber,hack-nix
MarcusWalz,hgit
MarkBiesheuvel,NathansUniversity
MaskRay,hsnippet
MaskRay,hython
MasseR,Blog
MassiveTactical,mt-mongodb
Mathnerd314,Idris-dev
MaxDaten,authenticate-ldap
MaxDaten,ldap-simple
MaxDaten,yesod-auth-ldap-extended
MedeaMelana,Zwaluw
MekeorMelire,Idris-dev
MekeorMelire,my-blog
MgaMPKAy,BNFC
MgaMPKAy,m_Practice
MichaelBlume,Euler.hs
MichaelBlume,scheme.hs
MichaelXavier,Bucketeer
MichaelXavier,HollaBack
MichaelXavier,dawtfiles
MichaelXavier,michaelxavier.net
MichaelXavier,yesod
Micket,texmath
MikeHaskel,Constructiva
Mikolaj,Allure
Mikolaj,ThreadScope
Mikolaj,ghc
Mikolaj,ghc-events
Mikolaj,haskell-linux-perf
Mikolaj,packages-base
Minoru,zip-archive
Mogzor,ProjectEuler
MostAwesomeDude,lollerskates
MrElendig,dotfiles-alice
Munksgaard,haskell-irc
Munksgaard,solitaire
NathanHowell,visi
Nenmin,Hammer
NeonGraal,yesod
NishinoNaruhiko,dotfiles
NixOS,cabal2nix
Oregu,Pakkuman
Ouzned,HaskellChess
Paczesiowa,hsenv
Paczesiowa,virthualenv
Palmik,mongoDB-haskell
Palmik,snap-init-templates
Palmik,snaplet-hdbc-example
Palmik,snaplet-mongodb-minimalistic
Peaker,bottle
Peaker,bytestring-progress
Peaker,conduit-chatserver
Peaker,eithert
PepeGuerrero,dotfiles
Philonous,conduit
Philonous,haskell-xmpp
Philonous,pontarius
Philonous,prototyper
Philonous,stringprep-hs
Philonous,xml-types-pickle
Philonous,xmpp-lib
Porges,ranges-hs
Porges,stringprep-hs
PositronicBrain,Wumpus
Purview,purview
QiBaobin,config
Rakin05,haskell-learning-notices
RaphaelJ,Face-recognition
RaphaelJ,Haskell
RaphaelJ,repa-devil
RedMoonStudios,cryptd-lib
RedMoonStudios,cryptd-slave
RichardBarrell,snippets
RoaldFre,haren
RobinKrom,fasths
RobinMorisset,Btrsync
RobinMorisset,Tryskell
RobotGymnast,Chess
RobotGymnast,Muse
RobotGymnast,VocabTester
Rychlewicz,combinatorial-identities-in-haskell
SKAhack,yesod
SKoschnicke,haskell-shop-kata
Safyia,Haskell-validation
Safyia,Validate-Slovak-Birth-numbers--Haskell-
SeanTAllen,dotxmonad
Shib4,config
Shimuuar,HaTeX
Shimuuar,histogram-fill
Shimuuar,histogram-fill-cereal
Shimuuar,hstats
Shimuuar,numeric-tools
Shimuuar,protobuf
Shimuuar,statistics
Shimuuar,type-level-numbers
Shoklan,Haskell
SimonKaltenbacher,Parallel-Forward-Chaining
SirFrancisDrake,Babylon-5--We-ve-Lost-Her
SkemaPlatform,skema
SkemaPlatform,skema-common
Soares,Dater.hs
SonOfLilit,reactive-banana
SynthC,Signs
Tarrasch,DtekPortalen
Tarrasch,authenticate-kerberos
Tarrasch,hamlet
Tarrasch,yesod-auth-kerberos
Tarrasch,yesodweb.com-content
TaurusOlson,xmonad
TeaMoe,xmonad-config
Temp1ar,LovelyHaskell
Tener,ProCoGraM
Tener,disruptor-hs
Tener,haskell-package-vt
