repository_owner,repository_name
0xcaos,blafxml
13yo,iCal4WS
4e6,android-localization-helper
4e6,play2-filesharing
AlainODea,neo4j
AlainODea,neo4j-experiments
AlainODea,sbt-idea
AnaMarjanica,Sluggifier
AnaMarjanica,name-compare
AnaMarjanica,pgscala
Ananasas,Pruner
AndreaCrotti,proj-organizer
AndreyG,Spherical-Horse
AngelInc,dataloading
Anoopsmohan,Scala-Graph-Library
Ardesco,jmeter.lazerycode.com
Arnauld,sbt-vaadin-plugin
Atry,commons-continuations
Atry,sbt-release
Atry,sbteclipse
Atry,sbtproperties
Atry,scala-junction
Atry,scala-ssh-shell
Attamusc,GenreBot
BastiaanGrisel,Programming-Life
Bikiew,streetscanner
Biofinity,Biofinity
BlocklandGlass,Glass-Common
BlocklandGlass,Glass-Server
BlocklandGlass,Glass-WrapperCommon
BluePyth,gatling-sample-project
BlueScale,BlueScale
Brujordet,PlayVoter
CIIR,Proteus
CRogers,ProjectEuler
CassyJens,IRSystem
CharlesStain,shameless-tetris-clone
ChrisKozak,TwitScala
ClearAccess,pulse
ClintCombs,regrest
CodeBlock,GoogleCalculator-scala
CodeBlock,breakpoint-compilation-system
CodeBlock,hax
ConnorDoyle,EnMAS
ConnorDoyle,EnMAS-Quick-Start
Crossing-Tech,slang
Cybie,Scalex
Deathbobomega,Weave
Deathbobomega,scala-guice
Debilski,scala
Delors,BAT
Delors,DoRest
DennisLaumen,Triblo
DetriusXii,SquerylJdip
DiegoRam,demoGit
DiscoveryQA,dvds4ever
DoomPirate,Lift-Menu-Example
EarlOfEgo,RegExTester
Ergodicity,marketdb
Ergodicity,zeromq
Erkan-Yilmaz,jstack-profiler
Erkan-Yilmaz,webbytest
ErunamoJAZZ,docScala_es
Evh27,ScalaLearning
ExactTargetDev,kafka
FaKod,neo4j-scala
FaKod,neo4j-spatial-scala
FaKod,sjersey-client
FabienPennequin,scala-sbt.g8
FasterXML,jackson-module-scala
FeedTheCoffers,feedthecoffers
FeedTheCoffers,shiro-oauth
ForNeVeR,oscilloscope
Furniel,Apk-Changer
G-Node,gnode-client-lib
Gab-km,FizzBuzz-in-Scala-with-ScalaTest
GeeksOfTheDusk,ClosedSocialNetwork
GeeksOfTheDusk,NSA
Gekkio,sbt-jrebel-plugin
GrahamLea,SodaTest
GrahamLea,scala-spring-hibernate-maven-webapp
GravityLabs,HPaste
Grogs,gregd.me-backend
HVF,kafka
HairyFotr,AngryPigs
HairyFotr,MetaPlus
HairyFotr,teh_bot
Hattip,hat.tip
HendraWijaya,anorm-examples
HouzuoGuo,MUT
HouzuoGuo,ScalaDB
I82Much,Scala-Photomosaic
IMIS,Play20
IvanMalison,miniML-Parser
JOPUX,JOPUX-forks-ApacheServicemix5
Jamboti,cft-integration
JamesEarlDouglas,akka-arrows
