repository_owner,repository_name
BaseXdb,basex-dist
LeoWoerteler,QT3TS
ableasdale,system-configuration-tools
anoopsin,Database-XML-Project
apb2006,expath-packages
betterFORM,forms-xar
betterFORM,timetracker-xar
declera,xmlite
dmcassel,blog-code
garyvidal,marklogic-ant-tasks
garyvidal,xquerrail
grtjn,Corona
irinc,xqtest
isubiker,Corona
j-hacker,opensiddur
jpcs,xqueryparser.xq
kefo,NAF-CDS-Quality-Check
kefo,marcauth-2-madsrdf
marklogic,Corona
marklogic,DocumentDiscovery
marklogic,atompub-server
marklogic,commons
marklogic,ml-rest-lib
marklogic,roxy
marklogic,semantic
marklogic,xray
mblakele,task-rebalancer
mblakele,xqut
mblakele,xqysp
micheee,xqwebdoc
ndw,nwn
ndw,photoman
opensiddur,opensiddur
philipfennell,grasp
philipfennell,grip
robwhitby,commons
robwhitby,project-euler-xquery
robwhitby,sunspots
robwhitby,xray
ryanjdew,XQuery-XML-Memory-Operations
snivas,XQuery-3.0-OAuth
snivas,XQuery-OAuth
srinivasan1987,xquerrail
tvrhgn,sbg-synq
ukcrpb6,marklogic-ant-contrib
ukcrpb6,maven-marklogic-plugin
wcandillon,dropbox.xq
wthoolihan,MLUC-2012-Examples
xquery,roxy
xquery,xprocxq
xquery,xquerydoc
zwobit,demo-xar
zwobit,timetracker-xar
